voice,dtw,duration,zcr,wer,cer,label
8,6.5988,4.7893,0.0237,0.6316,0.1833,Bad
9,6.9792,3.232,0.0314,0.6429,0.1758,Bad
10,6.7947,1.088,0.0541,0.5,0.1961,Bad
11,6.4312,0.16,0.0048,0.6923,0.2791,Bad
12,6.7448,0.384,0.0156,1.0,0.25,Bad
13,6.3209,2.8373,0.0124,0.3333,0.0549,Bad
14,6.3614,1.5147,0.0101,0.7143,0.2255,Bad
15,6.1299,2.624,0.019,0.6667,0.1812,Bad
16,7.3908,0.512,0.0005,0.5,0.16,Bad
17,6.1575,0.32,0.0534,0.7222,0.2821,Bad
18,6.8719,0.1813,0.0174,1.2,0.3947,Bad
19,6.4274,1.8987,0.04,0.3636,0.0822,Bad
20,6.7695,0.2773,0.031,1.0,0.2121,Bad
21,6.5857,2.08,0.0127,0.5833,0.2527,Bad
22,6.4956,0.032,0.0387,0.9167,0.4878,Bad
23,6.9401,0.2347,0.0444,0.6667,0.1944,Bad
24,6.671,1.0667,0.0337,0.7143,0.1556,Bad
25,6.5733,1.248,0.0413,0.6,0.25,Bad
26,7.1446,0.16,0.0164,0.6,0.3,Bad
27,6.6016,0.8,0.0528,0.375,0.1714,Bad
28,6.7215,1.344,0.0211,0.3333,0.0789,Bad
29,6.6694,1.568,0.0052,0.5714,0.1633,Bad
30,7.1933,0.8107,0.0298,0.6875,0.25,Bad
31,6.5079,1.824,0.039,0.4375,0.2424,Bad
32,6.8559,1.2907,0.0245,0.5,0.14,Bad
33,6.5429,4.608,0.0251,0.8125,0.2178,Bad
34,6.5534,0.3627,0.03,0.6667,0.5,Bad
35,6.8055,1.92,0.0207,0.7778,0.377,Bad
36,6.2007,3.648,0.0357,0.6667,0.1269,Bad
37,6.4927,2.112,0.0171,0.4167,0.24,Bad
8,6.0324,2.3253,0.0215,0.2632,0.0583,Good
9,6.1287,2.5813,0.0168,0.5714,0.1429,Good
10,6.3619,1.0773,0.0365,0.4,0.1373,Good
11,6.2749,0.832,0.0061,0.3846,0.1163,Good
12,6.5476,0.6613,0.0321,1.0,0.2917,Good
13,6.1704,2.144,0.0117,0.0,0.0,Good
14,6.1483,3.9787,0.006,0.5,0.098,Good
15,5.9598,6.0053,0.0237,0.381,0.0507,Good
16,7.1688,0.1813,0.0049,0.5,0.12,Good
17,6.195,0.8,0.0341,0.5556,0.1111,Good
18,6.0288,0.832,0.0465,0.8,0.1053,Good
19,6.0011,0.5013,0.0289,0.2727,0.0274,Good
20,6.1609,0.3093,0.0588,0.8333,0.1515,Good
21,6.2232,1.792,0.0277,0.3333,0.0549,Good
22,6.1748,0.7787,0.0191,0.5,0.1585,Good
23,5.7091,0.416,0.0421,0.3333,0.0556,Good
24,6.2094,0.8213,0.0396,0.5714,0.1778,Good
25,5.8142,0.9067,0.0415,0.6,0.125,Good
26,5.9162,0.192,0.0204,0.8,0.2667,Good
27,6.058,0.8,0.0659,0.125,0.0857,Good
28,5.7671,1.12,0.029,0.2667,0.1316,Good
29,6.194,0.704,0.0179,0.5,0.1224,Good
30,6.5816,2.4,0.0267,0.5625,0.075,Good
31,6.0232,2.368,0.0195,0.1875,0.0808,Good
32,6.3769,0.704,0.0065,0.0,0.0,Good
33,6.2744,1.824,0.0291,0.375,0.1188,Good
34,4.9175,0.224,0.0457,0.3333,0.0625,Good
35,6.1222,1.536,0.0142,0.3333,0.082,Good
36,5.794,2.56,0.0245,0.3333,0.0597,Good
37,6.332,1.6533,0.0311,0.4167,0.1067,Good
