voice,dtw,duration,zcr,wer,cer,label
8,6.2974,3.36,0.038,0.5263,0.1083,Bad
9,6.0361,1.952,0.0173,0.5,0.1209,Bad
10,6.1109,1.696,0.0306,0.5,0.1961,Bad
11,6.252,2.2827,0.0195,0.6154,0.2093,Bad
12,6.3484,1.5467,0.0143,0.75,0.2917,Bad
13,6.1312,1.088,0.0199,0.4,0.0769,Bad
14,6.1469,2.1227,0.0214,0.6429,0.1961,Bad
15,5.9314,2.1547,0.031,0.4286,0.0942,Bad
16,6.2274,0.224,0.0091,0.5,0.16,Bad
17,6.0569,0.2027,0.052,0.5556,0.1795,Bad
18,6.2157,1.2587,0.0655,1.0,0.1842,Bad
19,5.8502,0.512,0.0235,0.4545,0.1096,Bad
20,5.6807,0.6827,0.0347,0.8333,0.2424,Bad
21,5.9378,1.376,0.0262,0.5833,0.2088,Bad
22,5.8652,1.056,0.0444,0.75,0.2561,Bad
23,6.1018,1.44,0.0349,0.5,0.1667,Bad
24,5.6178,0.576,0.0462,0.5714,0.1778,Bad
25,5.9418,1.824,0.0269,0.8,0.2292,Bad
26,5.9801,1.12,0.0152,0.8,0.3667,Bad
27,6.4728,1.984,0.06,0.625,0.1429,Bad
28,6.0868,1.2373,0.0487,0.2,0.0921,Bad
29,6.354,1.408,0.0347,0.4286,0.1122,Bad
30,5.8102,0.608,0.0575,0.625,0.1417,Bad
31,5.9819,1.7493,0.0512,0.3125,0.1111,Bad
32,6.7449,1.4187,0.0373,0.375,0.16,Bad
33,6.0731,1.536,0.0615,0.6875,0.2079,Bad
34,6.2573,0.928,0.008,0.6667,0.25,Bad
35,6.0637,1.1413,0.017,0.5556,0.2459,Bad
36,6.068,2.0267,0.0499,0.7333,0.1269,Bad
37,5.9866,0.5333,0.0538,0.4167,0.12,Bad
8,5.7991,1.504,0.044,0.2632,0.0583,Good
9,5.5302,1.12,0.0261,0.3571,0.0659,Good
10,6.451,1.664,0.0427,0.4,0.0588,Good
11,5.7595,0.8,0.0248,0.3077,0.0581,Good
12,6.0346,0.608,0.0255,0.75,0.1667,Good
13,5.9249,0.864,0.0247,0.0,0.0,Good
14,5.8012,1.472,0.0229,0.2857,0.0392,Good
15,5.6158,1.248,0.0383,0.2857,0.0435,Good
16,6.9979,0.0747,0.0199,0.5,0.08,Good
17,5.8092,2.2933,0.0483,0.3333,0.0769,Good
18,5.9743,1.2587,0.0235,1.0,0.1053,Good
19,6.112,1.696,0.0292,0.1818,0.0137,Good
20,6.1885,1.568,0.0389,0.6667,0.0909,Good
21,5.9088,2.112,0.027,0.1667,0.022,Good
22,5.7916,2.08,0.034,0.75,0.1341,Good
23,5.7988,1.184,0.0359,0.5,0.0556,Good
24,6.0408,1.7493,0.0441,0.4286,0.0667,Good
25,6.0853,1.7707,0.039,0.5,0.0833,Good
26,5.9296,1.4827,0.0081,0.4,0.1333,Good
27,6.5029,2.0693,0.0508,0.125,0.0286,Good
28,6.1814,2.5067,0.0511,0.1333,0.0395,Good
29,6.1605,2.6453,0.0292,0.4286,0.0816,Good
30,5.9947,3.6693,0.0387,0.4375,0.05,Good
31,6.2589,3.52,0.0482,0.3125,0.1111,Good
32,6.5947,2.3893,0.0179,0.25,0.02,Good
33,5.8196,3.7333,0.0411,0.375,0.0792,Good
34,6.2941,0.8,0.0215,0.3333,0.125,Good
35,6.1037,2.4107,0.034,0.2222,0.0328,Good
36,5.8482,3.68,0.0532,0.5333,0.0299,Good
37,6.0049,2.0053,0.0482,0.5,0.0667,Good
